brand_model,city,model,mileage_in_km,engine_in_cc,Transmission,price_in_lacs,brand_model_age,price_type,mileage_category,engine_mileage_interaction
Suzuki Cultus,Lahore,2017,85000,1000.0,Manual,21.8,7,Mid Range,Low,85000000.0
Suzuki Alto,Quetta,1991,1,800.0,Manual,3.3,33,Budget,Low,800.0
Suzuki Wagon,Lahore,2019,64085,660.0,Automatic,33.9,5,Mid Range,Low,42296100.0
Mercedes Benz,Rawalpindi,2006,200000,2000.0,Automatic,38.0,18,Mid Range,Medium,400000000.0
Suzuki Cultus,Kharian,2012,108000,1000.0,Manual,13.2,12,Budget,Medium,108000000.0
Suzuki Wagon,Lahore,2022,10801,660.0,Automatic,36.0,2,Mid Range,Low,7128660.0
Suzuki Wagon,Lahore,2023,988,660.0,Automatic,38.9,1,Mid Range,Low,652080.0
Toyota Corolla,Karachi,2022,30000,1800.0,Automatic,67.2,2,Luxury,Low,54000000.0
Suzuki Wagon,Islamabad,2020,27000,660.0,Automatic,37.5,4,Mid Range,Low,17820000.0
FAW X-PV,Karachi,2016,100000,1000.0,Manual,8.5,8,Budget,Low,100000000.0
Daihatsu Taft,Karachi,2020,28000,660.0,Automatic,39.0,4,Mid Range,Low,18480000.0
Honda City,Multan,2024,10,1200.0,Automatic,49.5,0,Premium,Low,12000.0
Toyota Corolla,Islamabad,2018,63212,1300.0,Manual,43.0,6,Premium,Low,82175600.0
Honda Civic,Lahore,2019,99200,1800.0,Automatic,56.0,5,Premium,Low,178560000.0
Toyota Corolla,Attock,2015,150000,1600.0,Automatic,39.8,9,Mid Range,Medium,240000000.0
Suzuki Alto,Islamabad,2023,18000,660.0,Automatic,30.5,1,Mid Range,Low,11880000.0
Honda Fit,Karachi,2016,80000,1500.0,Automatic,37.4,8,Mid Range,Low,120000000.0
Nissan Dayz,Karachi,2017,74684,660.0,Automatic,32.9,7,Mid Range,Low,49291440.0
Honda Vezel,Faisalabad,2018,66650,1500.0,Automatic,70.0,6,Luxury,Low,99975000.0
Toyota Vitz,Karachi,2007,160000,1000.0,Automatic,18.9,17,Budget,Medium,160000000.0
Suzuki Alto,Karachi,2021,10000,660.0,Automatic,36.0,3,Mid Range,Low,6600000.0
Toyota Corolla,Sajawal,2007,176000,1300.0,Manual,21.5,17,Mid Range,Medium,228800000.0
Honda City,Karachi,2013,92000,1300.0,Manual,24.5,11,Mid Range,Low,119600000.0
Toyota Raize,Lahore,2020,53000,1000.0,Automatic,48.5,4,Premium,Low,53000000.0
Suzuki Swift,Sialkot,2016,67000,1300.0,Manual,22.5,8,Mid Range,Low,87100000.0
Honda Civic,Lahore,2017,117000,1800.0,Automatic,46.3,7,Premium,Medium,210600000.0
Daihatsu Cuore,Bahawalnagar,2000,32000,800.0,Manual,11.8,24,Budget,Low,25600000.0
Daihatsu Boon,Karachi,2018,120000,1000.0,Automatic,37.8,6,Mid Range,Medium,120000000.0
Toyota Vitz,Lahore,2016,60000,1000.0,Automatic,34.5,8,Mid Range,Low,60000000.0
Suzuki Mehran,Chakwal,1998,43000,800.0,Manual,5.4,26,Budget,Low,34400000.0
Honda Civic,Lahore,2006,139000,1800.0,Automatic,19.8,18,Budget,Medium,250200000.0
KIA Sportage,Gujranwala,2024,26000,2000.0,Automatic,78.8,0,Luxury,Low,52000000.0
Honda N,Islamabad,2015,108000,660.0,Automatic,24.6,9,Mid Range,Medium,71280000.0
Toyota Corolla,Karachi,2018,76000,1800.0,Automatic,48.5,6,Premium,Low,136800000.0
Suzuki Alto,Mardan,2015,85000,660.0,Automatic,24.3,9,Mid Range,Low,56100000.0
Suzuki Alto,Karachi,2008,145000,1000.0,Manual,8.2,16,Budget,Medium,145000000.0
Honda City,Rawalpindi,2006,92000,1300.0,Automatic,21.8,18,Mid Range,Low,119600000.0
Honda Vezel,Faisalabad,2018,66650,1500.0,Automatic,70.0,6,Luxury,Low,99975000.0
Subaru Pleo,Karachi,2023,2600,660.0,Automatic,38.5,1,Mid Range,Low,1716000.0
Toyota Corolla,Karachi,2024,20,1598.0,Automatic,67.2,0,Luxury,Low,31960.0
Nissan Roox,Lahore,2022,5000,660.0,Automatic,34.7,2,Mid Range,Low,3300000.0
Honda City,Lahore,2015,83000,1300.0,Manual,29.9,9,Mid Range,Low,107900000.0
Toyota Sienta,Karachi,2019,52500,1500.0,Automatic,75.0,5,Luxury,Low,78750000.0
Toyota Aqua,Islamabad,2015,125000,1500.0,Automatic,43.8,9,Premium,Medium,187500000.0
Toyota Passo,Islamabad,2016,123000,1000.0,Automatic,30.0,8,Mid Range,Medium,123000000.0
Suzuki Mehran,Abbottabad,2018,52000,800.0,Manual,15.0,6,Budget,Low,41600000.0
Honda City,Rawalpindi,2006,92000,1300.0,Automatic,21.8,18,Mid Range,Low,119600000.0
Suzuki Khyber,Karachi,1998,100000,1000.0,Manual,4.0,26,Budget,Low,100000000.0
Toyota Aqua,Peshawar,2015,150000,1500.0,Automatic,38.8,9,Mid Range,Medium,225000000.0
Suzuki Mehran,Rawalpindi,2019,38000,800.0,Manual,16.2,5,Budget,Low,30400000.0
Toyota Prius,Karachi,2012,83000,1800.0,Automatic,36.5,12,Mid Range,Low,149400000.0
Honda Civic,Faisalabad,2014,160000,1800.0,Automatic,33.0,10,Mid Range,Medium,288000000.0
Hyundai Sonata,Lahore,2021,18600,2000.0,Automatic,85.5,3,Luxury,Low,37200000.0
Daihatsu Mira,Peshawar,2020,12000,660.0,Automatic,35.5,4,Mid Range,Low,7920000.0
Toyota Corolla,Kharian,2006,180000,1800.0,Manual,21.4,18,Mid Range,Medium,324000000.0
Honda Civic,Mardan,2014,81000,1800.0,Automatic,39.5,10,Mid Range,Low,145800000.0
Changan Karvaan,Lahore,2022,36868,1200.0,Manual,24.2,2,Mid Range,Low,44241600.0
Honda Civic,Karachi,2006,100000,1500.0,Automatic,16.8,18,Budget,Low,150000000.0
Suzuki Alto,Karachi,2012,106310,1000.0,Manual,9.7,12,Budget,Medium,106310000.0
Suzuki Every,Lahore,2013,96000,660.0,Automatic,18.4,11,Budget,Low,63360000.0
Honda Civic,Karachi,2014,109100,1800.0,Automatic,35.5,10,Mid Range,Medium,196380000.0
Toyota Corolla,Islamabad,2020,84000,1600.0,Automatic,51.8,4,Premium,Low,134400000.0
Suzuki Wagon,Islamabad,2014,70000,660.0,Automatic,23.8,10,Mid Range,Low,46200000.0
Toyota Corolla,Gujrat,2018,96000,1600.0,Automatic,46.5,6,Premium,Low,153600000.0
Proton X70,Sialkot,2023,19000,1500.0,Automatic,75.5,1,Luxury,Low,28500000.0
Honda City,Islamabad,2016,106000,1300.0,Manual,33.5,8,Mid Range,Medium,137800000.0
Honda Civic,Islamabad,2013,91000,1800.0,Automatic,33.9,11,Mid Range,Low,163800000.0
Honda City,Islamabad,2018,132000,1300.0,Manual,37.2,6,Mid Range,Medium,171600000.0
Toyota Corolla,Karachi,2016,75000,1300.0,Automatic,34.9,8,Mid Range,Low,97500000.0
Nissan Dayz,Lahore,2024,1700,660.0,Automatic,47.9,0,Premium,Low,1122000.0
Toyota Yaris,Karachi,2021,25822,1500.0,Automatic,47.5,3,Premium,Low,38733000.0
Daihatsu Cast,Peshawar,2022,1100,660.0,Automatic,36.5,2,Mid Range,Low,726000.0
Toyota Raize,Islamabad,2021,30000,1000.0,Automatic,72.5,3,Luxury,Low,30000000.0
Toyota Corolla,Karachi,2019,18589,1300.0,Automatic,43.5,5,Premium,Low,24165700.0
Daihatsu Taft,Lahore,2022,15960,660.0,Automatic,38.0,2,Mid Range,Low,10533600.0
Hyundai Santro,Lahore,2004,100000,1000.0,Manual,9.8,20,Budget,Low,100000000.0
Suzuki Liana,Lahore,2006,125000,1300.0,Manual,12.9,18,Budget,Medium,162500000.0
Suzuki Cultus,Lahore,2021,55500,1000.0,Automatic,34.5,3,Mid Range,Low,55500000.0
Honda City,Islamabad,2018,132000,1300.0,Manual,37.2,6,Mid Range,Medium,171600000.0
Chery Tiggo,Lahore,2022,17000,1500.0,Automatic,61.0,2,Luxury,Low,25500000.0
Mitsubishi Ek,Islamabad,2014,69000,660.0,Automatic,23.5,10,Mid Range,Low,45540000.0
Toyota Raize,Karachi,2020,45000,1000.0,Automatic,58.5,4,Premium,Low,45000000.0
Suzuki Swift,Islamabad,2022,31000,1200.0,Automatic,41.2,2,Premium,Low,37200000.0
Honda Civic,Karachi,2018,55005,1800.0,Automatic,50.0,6,Premium,Low,99009000.0
Toyota Corolla,Karachi,2019,122000,1300.0,Automatic,35.5,5,Mid Range,Medium,158600000.0
Suzuki Every,Lahore,2020,109291,660.0,Automatic,27.8,4,Mid Range,Medium,72132060.0
Suzuki Cultus,Lahore,2017,85000,1000.0,Manual,21.8,7,Mid Range,Low,85000000.0
Suzuki Alto,Quetta,1991,1,800.0,Manual,3.3,33,Budget,Low,800.0
Suzuki Wagon,Lahore,2019,64085,660.0,Automatic,33.9,5,Mid Range,Low,42296100.0
Mercedes Benz,Rawalpindi,2006,200000,2000.0,Automatic,38.0,18,Mid Range,Medium,400000000.0
Suzuki Cultus,Kharian,2012,108000,1000.0,Manual,13.2,12,Budget,Medium,108000000.0
Suzuki Wagon,Lahore,2022,10801,660.0,Automatic,36.0,2,Mid Range,Low,7128660.0
Suzuki Wagon,Lahore,2023,988,660.0,Automatic,38.9,1,Mid Range,Low,652080.0
Toyota Corolla,Karachi,2022,30000,1800.0,Automatic,67.2,2,Luxury,Low,54000000.0
Suzuki Bolan,Islamabad,2007,100000,800.0,Manual,11.0,17,Budget,Low,80000000.0
Suzuki Cultus,Gujrat,2014,12500,1000.0,Manual,16.5,10,Budget,Low,12500000.0
Suzuki Alto,Lahore,2023,5002,660.0,Automatic,38.5,1,Mid Range,Low,3301320.0
Suzuki Cultus,Lahore,2021,55500,1000.0,Automatic,34.5,3,Mid Range,Low,55500000.0
Honda Civic,Islamabad,2022,50000,1500.0,Automatic,69.5,2,Luxury,Low,75000000.0
Honda Civic,Lahore,2021,35000,1800.0,Automatic,64.0,3,Luxury,Low,63000000.0
Suzuki Mehran,Islamabad,2014,34057,796.0,Manual,11.2,10,Budget,Low,27109372.0
Toyota Aqua,Lahore,2015,144000,1500.0,Automatic,39.0,9,Mid Range,Medium,216000000.0
Honda N,Lahore,2020,34849,658.0,Automatic,35.5,4,Mid Range,Low,22930642.0
Suzuki Cultus,Islamabad,2015,88000,1000.0,Manual,16.1,9,Budget,Low,88000000.0
Honda Civic,Lahore,2010,141045,1800.0,Automatic,24.2,14,Mid Range,Medium,253881000.0
Suzuki Alto,Islamabad,2022,20200,660.0,Manual,24.9,2,Mid Range,Low,13332000.0
Suzuki Cultus,Gujrat,2014,12500,1000.0,Manual,16.5,10,Budget,Low,12500000.0
Suzuki Alto,Lahore,2023,5002,660.0,Automatic,38.5,1,Mid Range,Low,3301320.0
Toyota Corolla,Lahore,2012,60578,1600.0,Automatic,35.0,12,Mid Range,Low,96924800.0
Daihatsu Move,Lahore,2023,2252,658.0,Automatic,38.9,1,Mid Range,Low,1481816.0
Suzuki Wagon,Karachi,2016,93986,1000.0,Manual,18.0,8,Budget,Low,93986000.0
Toyota Corolla,Rawalpindi,2006,145000,1800.0,Manual,16.5,18,Budget,Medium,261000000.0
Daihatsu Mira,Karachi,2015,61000,660.0,Automatic,23.8,9,Mid Range,Low,40260000.0
Suzuki Mehran,Islamabad,1998,100000,800.0,Manual,2.9,26,Budget,Low,80000000.0
Suzuki Mehran,Rawalpindi,2014,89000,796.0,Manual,11.8,10,Budget,Low,70844000.0
Toyota Corolla,Lahore,2014,120000,1600.0,Automatic,35.5,10,Mid Range,Medium,192000000.0
Toyota Aqua,Peshawar,2013,159000,1500.0,Automatic,40.0,11,Mid Range,Medium,238500000.0
Suzuki Wagon,Multan,2017,75000,1000.0,Manual,24.9,7,Mid Range,Low,75000000.0
Honda City,Islamabad,2008,92000,1300.0,Manual,19.4,16,Budget,Low,119600000.0
Suzuki Mehran,Rawalpindi,2017,52800,796.0,Manual,14.8,7,Budget,Low,42028800.0
Honda Accord,Peshawar,2004,70000,2000.0,Automatic,28.5,20,Mid Range,Low,140000000.0
Nissan Note,Karachi,2016,125000,1198.0,Automatic,36.9,8,Mid Range,Medium,149750000.0
Mitsubishi Ek,Lahore,2015,70500,660.0,Automatic,23.0,9,Mid Range,Low,46530000.0
Honda Civic,Islamabad,2017,85000,1800.0,Automatic,48.0,7,Premium,Low,153000000.0
Toyota Corolla,Lahore,2018,131000,1300.0,Manual,37.0,6,Mid Range,Medium,170300000.0
Honda City,Karachi,2011,145110,1300.0,Manual,21.0,13,Mid Range,Medium,188643000.0
Honda Civic,Rawalpindi,1995,123,1500.0,Manual,10.4,29,Budget,Low,184500.0
Honda City,Karachi,2014,90000,1500.0,Automatic,28.9,10,Mid Range,Low,135000000.0
Suzuki Alto,Islamabad,2024,2,660.0,Automatic,30.4,0,Mid Range,Low,1320.0
Toyota Passo,Lahore,2021,33365,1000.0,Automatic,41.6,3,Premium,Low,33365000.0
Honda Freed,Lahore,2019,157219,1500.0,Automatic,56.0,5,Premium,Medium,235828500.0
Nissan Serena,Lahore,2019,79000,1200.0,Automatic,70.0,5,Luxury,Low,94800000.0
Daihatsu Rocky,Lahore,2019,17800,1000.0,Automatic,61.0,5,Luxury,Low,17800000.0
MG HS,Lahore,2021,25800,1500.0,Automatic,63.0,3,Luxury,Low,38700000.0
Toyota Corolla,Lahore,2018,145000,1300.0,Automatic,44.7,6,Premium,Medium,188500000.0
Honda N,Faisalabad,2014,122000,660.0,Automatic,23.8,10,Mid Range,Medium,80520000.0
Honda Vezel,Lahore,2019,24751,1500.0,Automatic,84.0,5,Luxury,Low,37126500.0
Toyota Corolla,Rawalpindi,2011,170000,1300.0,Manual,24.0,13,Mid Range,Medium,221000000.0
Daihatsu Boon,Sialkot,2022,12200,1000.0,Automatic,43.5,2,Premium,Low,12200000.0
Toyota Premio,Peshawar,2007,167000,1500.0,Automatic,39.6,17,Mid Range,Medium,250500000.0
MG HS,Sukkur,2021,47000,1500.0,Automatic,66.0,3,Luxury,Low,70500000.0
Suzuki Swift,Lahore,2020,89000,1300.0,Automatic,31.5,4,Mid Range,Low,115700000.0
Honda Civic,Peshawar,2001,50000,1600.0,Manual,12.6,23,Budget,Low,80000000.0
Toyota Corolla,Kharian,2014,135,1300.0,Manual,27.0,10,Mid Range,Low,175500.0
Toyota Prius,Lahore,2011,200000,1800.0,Automatic,38.8,13,Mid Range,Medium,360000000.0
Toyota Raize,Karachi,2020,15000,1000.0,Automatic,57.9,4,Premium,Low,15000000.0
Nissan Dayz,Karachi,2014,123361,660.0,Automatic,25.8,10,Mid Range,Medium,81418260.0
Toyota Sienta,Sialkot,2018,64500,1500.0,Automatic,69.8,6,Luxury,Low,96750000.0
Suzuki Alto,Karachi,2020,60000,660.0,Manual,21.8,4,Mid Range,Low,39600000.0
Toyota Corolla,Karachi,2016,160000,1300.0,Automatic,35.0,8,Mid Range,Medium,208000000.0
Suzuki Alto,Karachi,2022,38000,660.0,Manual,24.2,2,Mid Range,Low,25080000.0
Toyota Yaris,Sargodha,2021,43000,1300.0,Manual,38.0,3,Mid Range,Low,55900000.0
Honda BR-V,Okara,2021,31700,1500.0,Automatic,51.2,3,Premium,Low,47550000.0
Daihatsu Mira,Lahore,2020,33000,660.0,Automatic,31.4,4,Mid Range,Low,21780000.0
Suzuki Mehran,Gujranwala,2012,103700,800.0,Manual,7.5,12,Budget,Medium,82960000.0
Honda BR-V,Lahore,2021,28773,1500.0,Automatic,53.0,3,Premium,Low,43159500.0
Hyundai Elantra,Lahore,2023,23494,1600.0,Automatic,57.0,1,Premium,Low,37590400.0
KIA Sportage,Lahore,2020,62000,2000.0,Automatic,64.0,4,Luxury,Low,124000000.0
Toyota Corolla,Rawalpindi,2021,38000,1598.0,Automatic,55.4,3,Premium,Low,60724000.0
Toyota Prius,Lahore,2016,162959,1800.0,Automatic,68.0,8,Luxury,Medium,293326200.0
Toyota Corolla,Karachi,2021,41000,1598.0,Automatic,52.5,3,Premium,Low,65518000.0
Suzuki Wagon,Layyah,2021,69500,1000.0,Manual,27.0,3,Mid Range,Low,69500000.0
Toyota Vitz,Lahore,2002,102584,1000.0,Automatic,14.5,22,Budget,Medium,102584000.0
Toyota Corolla,Rawalpindi,2020,35076,1500.0,Automatic,67.0,4,Luxury,Low,52614000.0
Suzuki Mehran,Gujranwala,2012,103700,800.0,Manual,7.5,12,Budget,Medium,82960000.0
Toyota Raum,Swabi,2007,200000,1500.0,Automatic,24.8,17,Mid Range,Medium,300000000.0
KIA Picanto,Faisalabad,2020,52000,1000.0,Automatic,27.6,4,Mid Range,Low,52000000.0
Toyota Corolla,Lahore,2011,225000,1300.0,Manual,22.9,13,Mid Range,High,292500000.0
Suzuki Liana,Rawalpindi,2006,45321,1300.0,Manual,9.8,18,Budget,Low,58917300.0
Suzuki Cultus,Lahore,2007,95000,1000.0,Manual,8.5,17,Budget,Low,95000000.0
Toyota Corolla,Mirpur A.K.,2019,60000,1800.0,Automatic,58.5,5,Premium,Low,108000000.0
Honda Fit,Karachi,2012,67000,1300.0,Automatic,32.8,12,Mid Range,Low,87100000.0
Suzuki Cultus,D.G.Khan,2016,18000,1000.0,Manual,16.3,8,Budget,Low,18000000.0
Toyota Duet,Karachi,1998,100000,1000.0,Automatic,10.0,26,Budget,Low,100000000.0
Suzuki Mehran,Shah kot,2010,66000,800.0,Manual,10.0,14,Budget,Low,52800000.0
Suzuki Spacia,Rawalpindi,2021,14300,660.0,Automatic,40.8,3,Premium,Low,9438000.0
KIA Sportage,Islamabad,2020,50300,2000.0,Automatic,66.9,4,Luxury,Low,100600000.0
Nissan Dayz,Lahore,2015,83000,660.0,Automatic,26.0,9,Mid Range,Low,54780000.0
Toyota Corolla,Hafizabad,2014,187000,1300.0,Manual,26.0,10,Mid Range,Medium,243100000.0
Daihatsu Cuore,Sargodha,2006,110000,800.0,Manual,9.0,18,Budget,Medium,88000000.0
Suzuki Liana,Swabi,2007,140000,1300.0,Manual,10.5,17,Budget,Medium,182000000.0
Honda Civic,Bahawalpur,2013,140000,1800.0,Automatic,34.0,11,Mid Range,Medium,252000000.0
Honda Civic,Rawalpindi,2005,215000,1600.0,Automatic,21.0,19,Mid Range,High,344000000.0
Toyota Passo,Karachi,2021,6800,1000.0,Automatic,41.0,3,Premium,Low,6800000.0
Suzuki Mehran,Hub-Balochistan,2014,60000,796.0,Manual,8.2,10,Budget,Low,47760000.0
Toyota Aqua,Sukkur,2018,38000,1500.0,Automatic,25.5,6,Mid Range,Low,57000000.0
Toyota Corolla,Rawalpindi,2020,35076,1500.0,Automatic,67.0,4,Luxury,Low,52614000.0
Suzuki Cultus,Rawalpindi,2023,639,1000.0,Automatic,42.0,1,Premium,Low,639000.0
Honda City,Lahore,2015,108699,1300.0,Manual,28.3,9,Mid Range,Medium,141308700.0
MG HS,Lahore,2021,51000,1500.0,Automatic,63.0,3,Luxury,Low,76500000.0
Toyota Passo,Lahore,2021,8000,1000.0,Automatic,41.8,3,Premium,Low,8000000.0
Suzuki Swift,Islamabad,2022,10546,1200.0,Manual,41.0,2,Premium,Low,12655200.0
Daihatsu Terios,Islamabad,2005,158117,660.0,Automatic,19.5,19,Budget,Medium,104357220.0
Toyota Corolla,Islamabad,2019,120000,1600.0,Automatic,43.0,5,Premium,Medium,192000000.0
Suzuki Alto,Islamabad,2020,95000,660.0,Automatic,25.0,4,Mid Range,Low,62700000.0
Mitsubishi Toppo,Karachi,2012,85000,660.0,Automatic,15.0,12,Budget,Low,56100000.0
Suzuki Khyber,Karachi,1991,63603,1000.0,Manual,2.8,33,Budget,Low,63603000.0
Toyota Corolla,Peshawar,2017,125000,1800.0,Automatic,46.2,7,Premium,Medium,225000000.0
Honda City,Lahore,2017,94000,1500.0,Automatic,37.5,7,Mid Range,Low,141000000.0
Suzuki Swift,Lahore,2013,80000,1300.0,Manual,20.0,11,Budget,Low,104000000.0
Suzuki Alto,Rawalpindi,2020,54000,660.0,Automatic,25.8,4,Mid Range,Low,35640000.0
Nissan Note,Karachi,2021,57100,1200.0,Automatic,62.5,3,Luxury,Low,68520000.0
Honda Civic,Peshawar,2020,36670,1800.0,Automatic,60.5,4,Luxury,Low,66006000.0
Hyundai Tucson,Lahore,2023,16500,2000.0,Automatic,81.8,1,Luxury,Low,33000000.0
Toyota Corolla,Nowshera,2010,150000,1300.0,Manual,19.5,14,Budget,Medium,195000000.0
Honda Fit,Karachi,2012,162000,1300.0,Automatic,28.5,12,Mid Range,Medium,210600000.0
Toyota Corolla,Lahore,2014,101000,1300.0,Manual,31.0,10,Mid Range,Medium,131300000.0
Daihatsu Hijet,Karachi,2012,92000,660.0,Automatic,16.5,12,Budget,Low,60720000.0
MG HS,Karachi,2021,56000,1500.0,Automatic,56.0,3,Premium,Low,84000000.0
Suzuki Alto,Pindi Bhattian,2023,37,660.0,Manual,26.3,1,Mid Range,Low,24420.0
Suzuki Wagon,Islamabad,2014,180000,660.0,Automatic,24.5,10,Mid Range,Medium,118800000.0
Toyota Corolla,Lahore,2016,95000,1300.0,Manual,32.2,8,Mid Range,Low,123500000.0
Suzuki Alto,Lahore,2023,17000,660.0,Manual,25.2,1,Mid Range,Low,11220000.0
Honda Civic,Peshawar,2005,99,1600.0,Automatic,17.3,19,Budget,Low,158400.0
Toyota Vitz,Lahore,2016,80123,1000.0,Automatic,33.2,8,Mid Range,Low,80123000.0
Honda N,Lahore,2021,8534,660.0,Automatic,37.5,3,Mid Range,Low,5632440.0
Honda Civic,Chakwal,2017,93570,1800.0,Automatic,48.0,7,Premium,Low,168426000.0
Toyota Corolla,Lahore,2013,90000,1300.0,Manual,25.8,11,Mid Range,Low,117000000.0
Toyota Corolla,Karachi,2020,75000,1600.0,Automatic,49.5,4,Premium,Low,120000000.0
KIA Picanto,Lahore,2021,48580,1000.0,Manual,27.0,3,Mid Range,Low,48580000.0
Suzuki Wagon,Islamabad,2015,139953,1000.0,Manual,20.5,9,Mid Range,Medium,139953000.0
Honda Civic,Lahore,2005,206996,1600.0,Manual,15.5,19,Budget,High,331193600.0
Toyota Aqua,Islamabad,2016,86000,1500.0,Automatic,42.8,8,Premium,Low,129000000.0
Toyota Corolla,Islamabad,2011,55000,1300.0,Manual,36.0,13,Mid Range,Low,71500000.0
Suzuki Jimny,Lahore,2014,124702,660.0,Automatic,26.5,10,Mid Range,Medium,82303320.0
Suzuki Alto,Rawalpindi,2009,143000,660.0,Automatic,18.3,15,Budget,Medium,94380000.0
Suzuki Alto,Karachi,2022,4670,660.0,Automatic,39.2,2,Mid Range,Low,3082200.0
Honda City,Multan,2008,220000,1300.0,Automatic,22.9,16,Mid Range,High,286000000.0
Toyota Rav4,Faisalabad,2002,124248,2200.0,Automatic,22.5,22,Mid Range,Medium,273345600.0
Suzuki Khyber,Karachi,1998,100000,1000.0,Manual,4.2,26,Budget,Low,100000000.0
Suzuki Baleno,Lahore,2005,60000,1300.0,Manual,8.9,19,Budget,Low,78000000.0
Suzuki Cultus,Islamabad,2006,80000,1000.0,Manual,8.3,18,Budget,Low,80000000.0
Suzuki Alto,Lahore,2021,50000,660.0,Automatic,25.8,3,Mid Range,Low,33000000.0
Toyota Corolla,Islamabad,2010,102000,1300.0,Manual,29.4,14,Mid Range,Medium,132600000.0
Suzuki Mehran,Rawalpindi,2017,73650,800.0,Manual,14.6,7,Budget,Low,58920000.0
Honda Civic,Bahawalnagar,2011,155000,1800.0,Manual,20.8,13,Mid Range,Medium,279000000.0
Suzuki Cultus,Abbottabad,2005,65000,1000.0,Manual,7.8,19,Budget,Low,65000000.0
Suzuki Cultus,Lahore,2003,45000,1000.0,Manual,7.0,21,Budget,Low,45000000.0
Suzuki Khyber,Lahore,1992,100000,1000.0,Manual,4.0,32,Budget,Low,100000000.0
Honda Vezel,Lahore,2014,137764,1500.0,Automatic,42.0,10,Premium,Medium,206646000.0
Suzuki Swift,Rawalpindi,2012,178000,1300.0,Manual,19.3,12,Budget,Medium,231400000.0
Honda Civic,Lahore,2005,150000,1500.0,Manual,12.3,19,Budget,Medium,225000000.0
Honda Civic,Lahore,2019,67000,1800.0,Automatic,56.9,5,Premium,Low,120600000.0
Honda N,Multan,2020,17000,660.0,Automatic,36.5,4,Mid Range,Low,11220000.0
Daihatsu Move,Lahore,2020,38462,660.0,Automatic,35.5,4,Mid Range,Low,25384920.0
Daihatsu Mira,Karachi,2021,75000,660.0,Automatic,31.6,3,Mid Range,Low,49500000.0
Honda City,Lahore,2020,70000,1300.0,Automatic,38.5,4,Mid Range,Low,91000000.0
Toyota Duet,Lahore,2006,150000,1000.0,Automatic,12.2,18,Budget,Medium,150000000.0
Suzuki Jimny,Lahore,2014,124702,660.0,Automatic,26.5,10,Mid Range,Medium,82303320.0
KIA Picanto,Islamabad,2021,50490,1000.0,Manual,28.0,3,Mid Range,Low,50490000.0
Suzuki Hustler,Karachi,2014,89000,660.0,Automatic,22.0,10,Mid Range,Low,58740000.0
Suzuki Wagon,Lahore,2017,86747,1000.0,Manual,22.5,7,Mid Range,Low,86747000.0
Suzuki Ravi,Lahore,2015,100000,800.0,Manual,6.2,9,Budget,Low,80000000.0
Toyota Corolla,Faisalabad,2022,19921,1600.0,Automatic,67.2,2,Luxury,Low,31873600.0
Suzuki Cultus,Lahore,2003,96806,1000.0,Manual,8.0,21,Budget,Low,96806000.0
Toyota Raize,Abbottabad,2020,39000,1000.0,Automatic,59.5,4,Premium,Low,39000000.0
Nissan Note,Abbottabad,2021,22500,1200.0,Automatic,72.5,3,Luxury,Low,27000000.0
Honda N,Lahore,2021,4775,660.0,Automatic,37.0,3,Mid Range,Low,3151500.0
Suzuki Wagon,Rawalpindi,2018,168000,1000.0,Manual,20.8,6,Mid Range,Medium,168000000.0
Honda Civic,Rawalpindi,2012,160000,1800.0,Automatic,26.9,12,Mid Range,Medium,288000000.0
Daihatsu Mira,Karachi,2021,75000,660.0,Automatic,31.6,3,Mid Range,Low,49500000.0
Honda City,Lahore,2020,70000,1300.0,Automatic,38.5,4,Mid Range,Low,91000000.0
Toyota Duet,Lahore,2006,150000,1000.0,Automatic,12.2,18,Budget,Medium,150000000.0
Daihatsu Cast,Karachi,2015,70000,658.0,Automatic,25.2,9,Mid Range,Low,46060000.0
Suzuki Swift,Lahore,2019,53000,1300.0,Automatic,29.5,5,Mid Range,Low,68900000.0
Suzuki Baleno,Lahore,1999,95000,1300.0,Manual,7.8,25,Budget,Low,123500000.0
Toyota Yaris,Lahore,2022,19500,1300.0,Automatic,45.5,2,Premium,Low,25350000.0
Suzuki Wagon,Toba Tek Singh,2021,1000,660.0,Automatic,27.0,3,Mid Range,Low,660000.0
Toyota Corolla,Badin,2022,48910,1800.0,Automatic,70.0,2,Luxury,Low,88038000.0
Daihatsu Mira,Karachi,2021,5868,660.0,Automatic,39.5,3,Mid Range,Low,3872880.0
Honda City,Islamabad,2018,85978,1500.0,Manual,35.0,6,Mid Range,Low,128967000.0
Suzuki Wagon,Lahore,2012,127000,660.0,Automatic,20.2,12,Mid Range,Medium,83820000.0
Toyota Vitz,Karachi,2014,82000,1000.0,Automatic,29.0,10,Mid Range,Low,82000000.0
Suzuki Cultus,Lahore,2008,100000,1000.0,Manual,8.1,16,Budget,Low,100000000.0
Toyota Vitz,Karachi,2002,54000,1000.0,Automatic,16.8,22,Budget,Low,54000000.0
Suzuki Mehran,Islamabad,2014,89000,796.0,Manual,11.4,10,Budget,Low,70844000.0
Hyundai Santro,Sahiwal,2001,14,1000.0,Manual,7.0,23,Budget,Low,14000.0
Daihatsu Move,Karachi,2021,35579,660.0,Automatic,34.5,3,Mid Range,Low,23482140.0
Toyota C-HR,Gujranwala,2018,50000,1800.0,Automatic,85.0,6,Luxury,Low,90000000.0
